new_id	phase	P__Bacteroidetes	P__Firmicutes	P__Proteobacteria	P__Verrucomicrobia	P__Actinobacteria	P__Fusobacteria	P__Tenericutes	K__Bacteria	P__Spirochaetes	P__Cyanobacteria.Chloroplast	P__Synergistetes	P__Candidatus_Saccharibacteria	P__Lentisphaerae	P__Elusimicrobia	P__Parcubacteria	P__Deferribacteres	P__Deinococcus.Thermus	NA	P__Acidobacteria	P__Microgenomates	P__Chloroflexi	P__Armatimonadetes
2020-023_PSC_0191	BL	10652	15633	2493	95	1348	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0192	BL	14419	11927	5862	95	86	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0193	BL	21104	15470	12813	0	283	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0194	BL	6139	8472	6593	1039	275	307	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0195	BL	484	17876	199	0	65	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0196	BL	6777	9067	6438	0	72	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0197	BL	10713	14716	11628	113	705	0	0	505	0	0	3	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0199	BL	16678	31996	14417	125	2929	0	0	1017	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0200	BL	10726	6109	1231	0	621	0	0	19	0	10	0	2	0	0	0	2	0	0	0	0	0	0
2020-023_PSC_0201	BL	31392	18631	6971	5	521	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0202	BL	13490	10034	46	0	134	0	0	33	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0203	BL	11578	7609	2232	0	64	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0204	BL	15697	12512	1977	1362	63	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0205	BL	13976	6415	3047	828	127	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0206	BL	13141	16307	3388	209	330	0	0	1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0207	BL	7973	4903	5027	66	83	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0209	BL	5913	5416	7560	171	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0211	BL	2454	9212	1693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0212	BL	16028	12309	1568	116	33	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0213	BL	6613	4990	2865	0	241	64	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0215	BL	15735	17650	4295	43	62	2	0	0	0	6	9	10	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0216	BL	8731	7700	5884	0	280	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0218	BL	10580	7194	1762	0	61	22	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0219	BL	7721	4227	990	222	222	4	0	45	0	0	3	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0220	BL	7645	8075	906	38	64	0	0	0	0	31	4	19	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0221	BL	16150	15189	1307	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0223	BL	10242	7179	11713	0	232	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0228	BL	4574	5783	3535	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0229	BL	24611	18712	4291	0	163	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0230	BL	13691	11388	2679	32	927	0	0	10	0	7	56	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0231	BL	10603	7796	164	0	32	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0232	BL	2929	13600	889	0	173	0	3	48	0	0	62	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0233	BL	10511	6830	6592	0	31	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0234	BL	3755	6296	1032	146	40	0	0	30	0	0	0	0	6	0	0	0	0	0	0	0	0	0
2020-023_PSC_0235	BL	5689	1774	11482	99	31	23	0	5	0	105	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0236	BL	4641	12320	1806	0	167	0	0	634	0	9	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0237	BL	14228	7956	860	0	210	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0239	BL	7535	11456	4129	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0241	BL	10513	6488	103	6	437	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0243	BL	21366	21188	6724	0	75	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0244	BL	5337	7717	7117	0	16	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0245	BL	13412	10699	5471	2	19	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0246	BL	18280	4073	1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0247	BL	31714	11018	668	0	196	0	0	22	0	0	0	0	0	0	0	0	0	0	6	0	0	0
2020-023_PSC_0248	BL	14796	13477	17082	0	198	1407	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0250	BL	17008	23141	2940	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0251	BL	11973	12790	8351	0	106	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0252	BL	14331	14669	3695	4	159	0	0	82	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0255	BL	14138	12315	10970	2	264	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0258	BL	28950	33389	3195	0	438	0	0	1904	0	0	3	14	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0259	BL	11756	4643	9348	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0260	BL	2762	22820	163	29	1240	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0262	BL	6433	7619	10979	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0263	BL	12796	6460	6207	0	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0264	BL	5647	8514	3180	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0265	BL	14336	4736	356	0	19	1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0266	BL	14476	16316	1127	8	94	0	0	4	0	49	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0267	BL	4134	6173	4054	77	411	0	0	225	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0269	BL	6982	7965	244	0	51	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0271	BL	7998	10752	63	0	29	0	0	38	0	3	4	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0273	BL	19088	17767	5026	0	93	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0274	BL	11737	7552	1137	6	93	0	0	22	0	0	2	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0275	BL	7238	7649	704	17	139	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0276	BL	13435	19242	2343	0	58	0	0	7	0	23	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0277	BL	8045	10072	52	0	194	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0279	BL	10595	26880	546	0	1516	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2020-023_PSC_0280	BL	8758	9739	4392	0	476	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0284	BL	14096	11215	4352	61	443	0	0	393	0	11	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0285	BL	12597	12401	2726	10	414	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
